Date,Ticker,Full_Article_Sentiment,Summary_Sentiment,change_in_full_sentiment,change_in_summary_sentiment,rolling_avg_full_sentiment,rolling_avg_summary_sentiment,volatility_full_sentiment,volatility_summary_sentiment
2023-08-14,BXMT,0.9971,0.9246,-0.0021999999999999797,0.09519999999999995,0.9987666666666666,0.9019,0.0014742229591664417,0.06423231274055136
2023-08-14,DLR,0.999,0.8176,-0.00019999999999997797,-0.1362,0.9984666666666667,0.7977,0.0011015141094572335,0.16694193601369312
2023-08-14,EPRT,0.997,0.9559,-0.0021999999999999797,0.023499999999999965,0.9985666666666667,0.8511666666666667,0.0013650396819628488,0.16147991619186994
2023-08-14,FRT,0.9998,0.946,9.999999999998899e-05,-0.0033000000000000806,0.9995200000000001,0.9179600000000001,0.0003033150177620834,0.06781558080559363
2023-08-14,HST,0.9976,0.296,,,0.9976,0.296,,
2023-08-14,OHI,0.9987,0.9511,-0.0010000000000000009,0.05179999999999996,0.9992000000000001,0.9252,0.0007071067811865874,0.03662813126546309
2023-08-14,PLD,0.9997,0.7239,0.0015000000000000568,-0.2098,0.99915,0.74505,0.0006557438524302181,0.2846830108500798
2023-08-14,STAG,0.9985,0.8885,0.008000000000000007,0.01969999999999994,0.9959000000000001,0.9050333333333334,0.004677606225410605,0.04674680024700442
2023-08-15,ALEX,0.987,-0.1531,,,0.987,-0.1531,,
2023-08-15,BPYPN,0.9927,0.3947,,,0.9927,0.3947,,
2023-08-15,FPI,0.9999,0.9039,0.00029999999999996696,-0.05730000000000002,0.99975,0.93255,0.00021213203435594088,0.04051721856198914
2023-08-15,KIM,0.9996,0.8591,,,0.9996,0.8591,,
2023-08-15,LADR,0.9959,0.7351,-0.0033999999999999586,-0.16170000000000007,0.9976333333333334,0.8199,0.0017009801096230274,0.08113895488604725
2023-08-15,NLY,0.9786,0.6908,0.0027000000000000357,0.14249999999999996,0.9879,0.42515000000000003,0.012395967086113137,0.47823240166262254
2023-08-15,NWH.UN:CA,0.9995,0.7783,,,0.9995,0.7783,,
2023-08-15,O,0.9987,0.8555,-0.0008000000000000229,-0.0343,0.99928,0.8611599999999999,0.0005403702434438058,0.06619511311267624
2023-08-15,OHI,0.9993,0.8779,0.0005999999999999339,-0.07319999999999993,0.9992333333333333,0.9094333333333333,0.0005033222956847347,0.03763739275419234
2023-08-15,PRV.UN:CA,0.9987,0.9468,,,0.9987,0.9468,,
2023-08-16,DRH,0.9993,0.8126,,,0.9993,0.8126,,
2023-08-16,MPW,0.9958,0.4927,0.012399999999999967,-0.17779999999999996,0.99346,0.63332,0.0068715354907037,0.23158579835559867
2023-08-16,NWH.UN:CA,0.9986,-0.0865,-0.0009000000000000119,-0.8648,0.99905,0.3459,0.000636396103067862,0.6115059443701263
2023-08-16,O,0.9982,0.9668,-0.000500000000000056,0.11129999999999995,0.9989600000000001,0.9044399999999999,0.0006228964600956225,0.04199229691264811
2023-08-16,PINE,0.999,0.8779,,,0.999,0.8779,,
